"enquadramento";"2019";"2020";"2021";"2022"
"Deixar De Reduzir Veloc De Forma Compativel C/Seguranca Ao Ultrapassar Ciclista";8;16;7;6
"Parar Nos Canteiros Centrais/Divisores De Pista De Rolamento";33;27;8;6
"Conduzir Motocicleta,Motoneta E Ciclomotor Sem Vestuario Aprovado Pelo Contran";7;2;24;5
"Deixar De Guardar A Distancia Lateral De 1,50m Ao Passar/Ultrapassar Bicicleta";3;6;2;5
"Ultrapassar Veiculo Em Movimento Que Integre Cortejo/Desfile/Formacao Militar";2;NA;1;5
"Deixar De Dar Passagem A Veic Precedido De Batedores Devidamente Identificados";4;2;3;4
"Deixar De Dar Passagem A Veic Socorro De Incendio/Salv Serv Urgencia Devid Ident";9;4;1;4
"Deixar De Dar Prefer Em Intersecao Nao Sinalizada, A Veiculo Que Vier Da Direita";9;11;5;4
"Executar Operacao De Retorno Passando Por Cima De Ajardinamento";2;7;3;4
"Rebocar Outro Veiculo Com Cabo Flexivel Ou Corda";13;17;6;4
"Transitar C/Veic Derraman/Lancando/Arrastando Objeto Possa Acarretar Risco Acid";13;7;6;4
"Conduzir Motoc/Moton E Ciclomot Transp Pass C/Capac Desac Normas Espec Contran";3;NA;4;3
"Deixar De Reduzir A Velocidade De Forma Compativel Com A Seguranca, Em Declive";16;19;10;3
"Deixar De Reduzir A Velocidade Nos Trechos Em Curva De Pequeno Raio";12;11;18;3
"Parar Nas Ilhas Ou Refugios";31;4;5;3
"Participar Na Via Como Condutor Em Competicao Esportiva, Sem Permissao";6;7;NA;3
"Transitar Com Veic Derramando/Lancando Combustivel/Lubrif Que Esteja Utilizando";20;18;1;3
"Ultrapassar Veic Motorizados Em Fila Parados Em Razao De Bloqueio Viario Parcial";5;3;NA;3
"Usar Veiculo Para Arremessar Sobre Os Veiculos Agua Ou Detritos";10;10;11;3
"Executar Operacao De Retorno Nos Tuneis";NA;5;6;3
"Conduzir Motocicleta, Motoneta E Ciclomotor Rebocando Outro Veiculo";1;3;NA;2
"Deixar De Manter Acesas A Noite As Luzes Posicao Qdo O Veiculo Estiver Parado";3;2;2;2
"Deixar De Reduzir A Velocidade Do Veiculo Ao Aproximar-Se Da Guia Da Calcada";11;19;5;2
"Deixar De Reduzir A Velocidade Nas Proximidades De Hospitais";1;NA;4;2
"Deixar De Reduzir Veloc Ao Aproximar Local Sinaliz Advert De Obras/Trabalhadores";6;2;3;2
"Entrar/Sair De Fila De Veiculos Estacionados Sem Dar Pref A Pedestres/Veiculos";2;2;3;2
"Parar Nos Viadutos";15;3;3;2
"Deixar De Manter Acesas A Noite As Luzes De Posicao Veic Fazendo Carga/Descarga";4;1;NA;1
"Deixar De Manter Ligado Em Emerg Sist Ilum Vermelha Intermitente Ainda Q Parado";2;NA;NA;1
"Deixar De Parar Sempre Que A Marcha For Interceptada Por Agrupamento De Pessoas";4;1;NA;1
"Deixar De Reduzir A Velocidade A Aproximacao De Animais Na Pista";1;NA;2;1
"Deixar De Reduzir A Velocidade Sob Chuva/Neblina/Cerracao/Ventos Fortes";5;6;5;1
"Deixar De Reduzir Veloc Qdo Pavimento Se Apresentar Escorreg/Defeituoso/Avariado";1;3;3;1
"Transitar C/ Veic  Arrastando A Carga Que Esteja Transportando";4;2;1;1
"Transitar Efetuando Transporte Remunerado De Pessoas Qdo N Licenciado P/Esse Fim";2;1;3;1
"Ultrapassar Pela Contramao Nos Viadutos";18;NA;1;1
"Usar Buzina Em Desacordo C/Os Padroes E Frequencias Estabelecidas Pelo Contran";4;2;3;1
"Utilizar Luz Alta E Baixa Intermitente, Exceto Quando Permitido Pelo Ctb";4;NA;1;1
"Deixar De Parar Sempre Que Marcha For Interceptada Por Agrupamento De Veiculos";NA;1;3;1
